date,order_update,transaction_cancel,stock_status_update,order_delete,order_new,market_quote,transaction
20160801,67529,0,38497.5,5922.5,9416.5,5780443.5,516681.5
20160803,44480.5,0,38272.5,4226,7840,5523146.5,586195
20160804,46082,0,37795.5,4090.5,7714,4972749.5,463114.5
20160805,59803.5,0,37948.5,4652.5,7966,4521732.5,461232
20160808,29981,0,37935,3333.5,6015.5,4555520.5,485620
20160809,31745.5,0,37602,3445,6100,4092373.5,441378.5
20160810,31756,0,37867.5,2960,5888.5,4968156,504250.5
20160811,52330.5,0,37881,6545,10798,6160544.5,543808
20160812,39975.5,0,37975.5,5152,8102.5,5315981,567123.5
20160815,41763,0,38155.5,7193.5,11526.5,5659152.5,597522.5
20160816,42319,0,38173.5,7604.5,11291,6082180.5,611311.5
20160817,48676.5,0,38322,5137,9436.5,6043882.5,607401.5
20160818,46674,0,38560.5,7553,11626,6346751.5,621871.5
20160819,55683.5,0,38740.5,9115,12960,6302879.5,559501.5
20160822,55506.5,0,39199.5,12251,15541,6557410.5,505913
20160823,52006.5,0,39613.5,12429,15674,5814089,496205.5
20160824,51501.5,0,39793.5,11719.5,15383,6267748,498035.5
20160825,51743.5,0,40090.5,25720,28185,5755633,491836.5
20160826,53594,0,40234.5,12907.5,15739,5273389,434628
20160829,55909.5,0,40387.5,14435.5,17453,5462030.5,436944.5
20160830,43837,0,40423.5,10993,13426.5,5094460,489821
20160831,42327,0,40072.5,9529,11596,4929910.5,558863.5
20160901,52867.5,0,39951,11686,14454.5,5822381.5,571438.5
20160902,37162.5,0,39901.5,9481,11411,5347235,594010.5
20160905,27812.5,0,39618,9792,12385,5330652.5,541536
20160906,39203,0,39154.5,9415,12801,5479487.5,557788.5
20160907,37693,0,39177,8692.5,12352.5,5174580.5,610215
20160908,42137.5,0,39402,7376,9485,4950529.5,578479.5
20160909,38810,0,39645,9895,13543,6726360.5,806151
20160912,56079.5,0,39838.5,14891.5,18072.5,7286548.5,659769
20160913,75679.5,0,40108.5,14914.5,19260.5,7452405.5,560849.5
20160914,78000.5,0,40288.5,13082.5,16741,6805553,482746
20160915,57058.5,0,40446,9884,12888,5666935,463689.5
20160919,72695.5,0,41062.5,11214,13938,6450877.5,559324
20160920,63809.5,0,41256,9272.5,12590.5,5886304.5,502691
20160921,79159.5,0,41337,9694.5,12736.5,7072645,536058
20160922,98642.5,0,41404.5,13124.5,17069,7594873,626563.5
20160923,73493,0,41364,10839.5,15459.5,6743496.5,514544
20160926,66490,0,41328,12017.5,15773,6099019.5,494851
20160927,87673.5,0,41278.5,14027,17555.5,7131092.5,502371
20160928,52494,0,41373,14704.5,17896,5596975.5,462572
20160929,68892,0,41548.5,15063.5,18286,6262456.5,468073.5
20160930,86482,0,41013,15368.5,19418,6733039.5,557920
